Reference Handle,Token,Item Name,Variation Name,Unit and Precision,SKU,Description,Categories,Reporting Category,SEO Title,SEO Description,Permalink,GTIN,Square Online Item Visibility,Item Type,Weight (lb),Social Media Link Title,Social Media Link Description,Shipping Enabled,Self-serve Ordering Enabled,Delivery Enabled,Pickup Enabled,Price,Online Sale Price,Archived,Sellable,Contains Alcohol,Stockable,Auto Add Item to Check,Option Name 1,Option Value 1,Default Unit Cost,Default Vendor Name,Default Vendor Code,Enabled Mia's Bakery,Current Quantity Mia's Bakery,New Quantity Mia's Bakery,Stock Alert Enabled Mia's Bakery,Stock Alert Count Mia's Bakery,Price Mia's Bakery,Enabled Mias UES,Current Quantity Mias UES,New Quantity Mias UES,Stock Alert Enabled Mias UES,Stock Alert Count Mias UES,Price Mias UES,Enabled Times Square,Current Quantity Times Square,New Quantity Times Square,Stock Alert Enabled Times Square,Stock Alert Count Times Square,Price Times Square,Modifier Set - Border Color,Modifier Set - Cake Pop Cupcake Flavor Choice,Modifier Set - Cupcake Flavor,Modifier Set - Cupcake Frosting,Modifier Set - Extra Shot Add-on,Modifier Set - Flavor - INST7PSUNRASXDKNC5NF7UUI,Modifier Set - Flavor - QDJSMW4SXF3MTFEZDQ6QJIZC,Modifier Set - Flavors,Modifier Set - Hot Drinks Extra Shot Choice,Modifier Set - Inscription,Modifier Set - Size,"Tax - New York, New York (11201) (8.875%)"
#7-layer-cake-7inch,RCDAEWSGSCVUCXYXEXJVGK2G,7 Layer Cake,7inch,,2763857,,Cakes to Go,Cakes to Go,,,,,visible,Prepared food and beverage,,,,,,,,50.00,,N,,,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N
#7-layer-cake-8inch,R35F3OVMMVOEE4FWUCVS533C,7 Layer Cake,8inch,,W060049,,Cakes to Go,Cakes to Go,,,,,visible,Prepared food and beverage,,,,,,,,54.00,,N,,,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N
#7-layer-cake-10inch,OKVRP6BNZ36WSOJORODWRACE,7 Layer Cake,10inch,,9275930,,Cakes to Go,Cakes to Go,,,,,visible,Prepared food and beverage,,,,,,,,65.00,,N,,,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N
#7-layer-cake-qs,3XGZUE7MFUWP6K2MNRZGDKIB,7 Layer Cake,QS,,791486B,,Cakes to Go,Cakes to Go,,,,,visible,Prepared food and beverage,,,,,,,,100.00,,N,,,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N
#7-layer-cake-hs,CMQC6EYBISDMFFLIFLW3QYEY,7 Layer Cake,HS,,8050799,,Cakes to Go,Cakes to Go,,,,,visible,Prepared food and beverage,,,,,,,,175.00,,N,,,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N
#7-layer-cake-fs,XAHDRNBIP7XY232OYEUS6W25,7 Layer Cake,FS,,K740592,,Cakes to Go,Cakes to Go,,,,,visible,Prepared food and beverage,,,,,,,,240.00,,N,,,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N
#9-pack-cupcakes-to-go-,MRUKLT5HJKF3NIPUH6FGU3T3,9 Pack Cupcakes to Go,,,6215540,,Cupcakes to Go,Cupcakes to Go,,,,,visible,Prepared food and beverage,,,,,,,Y,24.00,,N,,N,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N
#affogato-,TLT5Q6VZXQMDB6VOD4C3K4HI,Affogato,,,971128Q,,Cold Drinks to Go,Cold Drinks to Go,,,,,visible,Prepared food and beverage,,,,,,,Y,5.05,,N,,N,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N
#almond-croissant-ts--,KPVXAIA36ASEI2F2H7TIJ7PZ,Almond Croissant (TS),,,2185675,,Croissant to Stay,Croissant to Stay,,,,,visible,Prepared food and beverage,,,,,,,Y,5.75,,N,,N,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,Y
#almond-croissant-to-go-,ODJP7QZFUJP5ESUWXAKJIH52,Almond Croissant to Go,,,V739174,,Croissant to Go,Croissant to Go,,,,,visible,Prepared food and beverage,,,,,,,Y,5.50,,N,,N,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N
#americano-ts--,VDSD7HTB5IJY7C5V3KGXTQDE,Americano (TS),,,336133N,,Hot Drinks to Stay,Hot Drinks to Stay,,,,,visible,Prepared food and beverage,,,,,,,Y,4.95,,N,,N,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,Y,N,N,N,N,N,N,Y
#americano-to-go-small,7NH7IKV4D75BZR6TFPNNJUR2,Americano to Go,Small,,660752D,,Hot Drinks to Go,Hot Drinks to Go,,,,,visible,Prepared food and beverage,,,,,,,Y,3.21,,N,,N,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,Y,N,N,N,N,N,N,N
#americano-to-go-large,56KCOB7CWINJK3YQ52L5WN6J,Americano to Go,Large,,569721X,,Hot Drinks to Go,Hot Drinks to Go,,,,,visible,Prepared food and beverage,,,,,,,,4.21,,N,,,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,Y,N,N,N,N,N,N,N
#apple-bread-pudding-ts--,XAJEA66FTLS5TJYIIL4GKXP4,Apple Bread Pudding (TS),,,W215967,,Custard to Stay,Custard to Stay,,,,,visible,Prepared food and beverage,,,,,,,Y,7.75,,N,,N,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,Y
#apple-bread-pudding-to-go-,JVDS7MHWOVCTU3HQA6TUHSZK,Apple Bread Pudding to Go,,,164783P,,Custard to Go,Custard to Go,,,,,visible,Prepared food and beverage,,,,,,,Y,7.25,,N,,N,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N
#apple-cheesecake-slice,K2BHSCES5TDHZVIELINUX3OM,Apple Cheesecake,Slice,,899936X,,Cheesecakes to Go,Cheesecakes to Go,,,,,visible,Prepared food and beverage,,,,,,,Y,8.95,,N,,N,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N
#apple-cheesecake-8inch,M456S22J7FNPW7KZYJVIP35S,Apple Cheesecake,8inch,,7896188,,Cheesecakes to Go,Cheesecakes to Go,,,,,visible,Prepared food and beverage,,,,,,,,56.00,,N,,,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N
#apple-cheesecake-10inch,N6P3CIZLP6COI7UTNML77NR7,Apple Cheesecake,10inch,,K015353,,Cheesecakes to Go,Cheesecakes to Go,,,,,visible,Prepared food and beverage,,,,,,,,68.00,,N,,,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N
#apple-crumb-pie-8inch,2JS4XMPLJNJUTQAZQCOBSFHZ,Apple Crumb Pie,8inch,,R964437,,Pies to Go,Pies to Go,,,,,visible,Prepared food and beverage,,,,,,,Y,29.00,,N,,N,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N
#apple-crumb-pie-10inch,ZWHMS3EWDNSP2ZUU5VDXZUBD,Apple Crumb Pie,10inch,,F645959,,Pies to Go,Pies to Go,,,,,visible,Prepared food and beverage,,,,,,,,38.00,,N,,,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N
#apple-frangipane-ts--,VJFP5SMXLQHH5TG4ZEIO5YSY,Apple Frangipane (TS),,,636401P,,Tarts to Stay,Tarts to Stay,,,,,visible,Prepared food and beverage,,,,,,,Y,9.50,,N,,N,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,Y
#apple-frangipane-tart-to-go-4inch,CPDDQCCZIGTWLXW3PCMS3BSI,Apple Frangipane Tart to Go,4inch,,554471V,,Tarts to Go,Tarts to Go,,,,,visible,Prepared food and beverage,,,,,,,Y,8.50,,N,,N,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N
#apple-frangipane-tart-to-go-10inch,7A3KOHR5UGG6Z4ZC4L24HUTL,Apple Frangipane Tart to Go,10inch,,4924374,,Tarts to Go,Tarts to Go,,,,,visible,Prepared food and beverage,,,,,,,,38.00,,N,,,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N
#apple-pie-ts--,52T3VGUP7GIQJQEVNHHN3EBI,Apple Pie (TS),,,T052748,,Pies to Stay,Pies to Stay,,,,,visible,Prepared food and beverage,,,,,,,Y,9.25,,N,,N,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,Y
#apple-pie-to-go-slice,IXECCXCVVBPFALJMS4N42HAL,Apple Pie to Go,Slice,,6387042,,Pies to Go,Pies to Go,,,,,visible,Prepared food and beverage,,,,,,,Y,8.75,,N,,N,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N
#apple-pie-to-go-8inch,ISP6MNUAPJF6JLGHJ43RNKEB,Apple Pie to Go,8inch,,662476W,,Pies to Go,Pies to Go,,,,,visible,Prepared food and beverage,,,,,,,,29.00,,N,,,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N
#apple-pie-to-go-10inch,HBF2V63LQO5WYPOL4MEHEAG2,Apple Pie to Go,10inch,,919074W,,Pies to Go,Pies to Go,,,,,visible,Prepared food and beverage,,,,,,,,38.00,,N,,,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N
#apple-spice-muffin-ts--,PHG72TZLWDJPPPBAG4DSC3KO,Apple Spice Muffin (TS),,,1201319,,Muffin to Stay,Muffin to Stay,,,,,visible,Prepared food and beverage,,,,,,,Y,4.50,,N,,N,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,Y
#apple-spice-muffin-to-go-,QD35M3VHWKSUEYCRXP3BTZW6,Apple Spice Muffin to Go,,,Z117817,,Muffin to Go,Muffin to Go,,,,,visible,Prepared food and beverage,,,,,,,Y,4.25,,N,,N,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N
#apple-strudel-ts--,23OB6HMZGDDJBSA2ZNPWUHTN,Apple Strudel (TS),,,P720137,,SEN to Stay,SEN to Stay,,,,,visible,Prepared food and beverage,,,,,,,Y,9.25,,N,,N,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,Y
#apple-strudel-to-go-slice,PXG2TQITUDNMGWSHS6ICJUKU,Apple Strudel to Go,Slice,,H362235,,SEN to Go,SEN to Go,,,,,visible,Prepared food and beverage,,,,,,,Y,8.75,,N,,N,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N
#apple-strudel-to-go-whole,KQI6CGHD6DWMACK5BIQS5GX5,Apple Strudel to Go,Whole,,772195R,,SEN to Go,SEN to Go,,,,,visible,Prepared food and beverage,,,,,,,,29.00,,N,,,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N
#apple-turnover-ts--,W2GFOPD6NDLPA62XPNOMLJBA,Apple Turnover (TS),,,5520573,,Danish to Stay,Danish to Stay,,,,,visible,Prepared food and beverage,,,,,,,Y,5.00,,N,,N,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,Y
#apple-turnover-to-go-,XQDKMB3W675NFMCCM6GUWAZY,Apple Turnover to Go,,,9386795,,Danish to Go,Danish to Go,,,,,visible,Prepared food and beverage,,,,,,,Y,4.95,,N,,N,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N
#baklava-ts--,R6YGSYIT76D7VNSILOSD2FJZ,Baklava (TS),,,K519038,,Custard to Stay,Custard to Stay,,,,,visible,Prepared food and beverage,,,,,,,Y,7.75,,N,,N,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,Y
#baklava-to-go-,NGS4BB43QMQXZYJNIMNKFOO3,Baklava to Go,,,7642757,,Custard to Go,Custard to Go,,,,,visible,Prepared food and beverage,,,,,,,Y,7.25,,N,,N,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N
#banana-cheesecake-slice,LTFPXSNDYU4AQMNMKQL2Y2JO,Banana Cheesecake,Slice,,2692378,,Cheesecakes to Go,Cheesecakes to Go,,,,,visible,Prepared food and beverage,,,,,,,Y,8.95,,N,,N,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N
#banana-cheesecake-8inch,LYUHOWHTVI3XLGCZ4H2EHDNZ,Banana Cheesecake,8inch,,220236C,,Cheesecakes to Go,Cheesecakes to Go,,,,,visible,Prepared food and beverage,,,,,,,,56.00,,N,,,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N
#banana-cheesecake-10inch,M2VOKJ7226TUYHMGSCJNYMA2,Banana Cheesecake,10inch,,405261P,,Cheesecakes to Go,Cheesecakes to Go,,,,,visible,Prepared food and beverage,,,,,,,,68.00,,N,,,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N
#banana-cream-pie-ts--,GQPUA2IVAPTETKOIWXLNXHWB,Banana Cream Pie (TS),,,3935461,,Pies to Stay,Pies to Stay,,,,,visible,Prepared food and beverage,,,,,,,Y,9.25,,N,,N,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,Y
#banana-cream-pie-to-go-slice,LJKMED7B3PCM3LM75DEZMSDX,Banana Cream Pie to Go,Slice,,N831457,,Pies to Go,Pies to Go,,,,,visible,Prepared food and beverage,,,,,,,Y,8.75,,N,,N,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N
#banana-cream-pie-to-go-8inch,IZYXYXKPI2N36CR5LTONFTN7,Banana Cream Pie to Go,8inch,,L266916,,Pies to Go,Pies to Go,,,,,visible,Prepared food and beverage,,,,,,,,29.00,,N,,,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N
#banana-cream-pie-to-go-10inch,VYQEYK3MW6RHK5MASNJQ776N,Banana Cream Pie to Go,10inch,,358974X,,Pies to Go,Pies to Go,,,,,visible,Prepared food and beverage,,,,,,,,42.00,,N,,,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N
#banana-nut-bread-pudding-ts--,XT454OLGGZOVXLDSSRUJJQ6U,Banana Nut Bread Pudding (TS),,,1273703,,Custard to Stay,Custard to Stay,,,,,visible,Prepared food and beverage,,,,,,,Y,7.75,,N,,N,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,Y
#banana-nut-bread-pudding-to-go-,DLRYLZQ5QAOMDNRSWLAN4KDY,Banana Nut Bread Pudding to Go,,,F194951,,Custard to Go,Custard to Go,,,,,visible,Prepared food and beverage,,,,,,,Y,7.25,,N,,N,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N
#banana-nut-muffin-ts--,2DGK56ZE42SGYYTHAQNZ7SM6,Banana Nut Muffin (TS),,,V976126,,Muffin to Stay,Muffin to Stay,,,,,visible,Prepared food and beverage,,,,,,,Y,4.50,,N,,N,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,Y
#banana-nut-muffin-to-go-,CDDELXWRKTIM4QLKPQ245TY2,Banana Nut Muffin to Go,,,2629068,,Muffin to Go,Muffin to Go,,,,,visible,Prepared food and beverage,,,,,,,Y,4.25,,N,,N,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N
#banana-pudding-ts--,GSVLHLVVEE64WVSIIWCTOFYJ,Banana Pudding (TS),,,537014G,,Custard to Stay,Custard to Stay,,,,,visible,Prepared food and beverage,,,,,,,Y,8.75,,N,,N,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,Y
#banana-pudding-to-go-,VWNSWB7JX5IF3B64EDN3MP6I,Banana Pudding to Go,,,9998045,,Custard to Go,Custard to Go,,,,,visible,Prepared food and beverage,,,,,,,Y,8.25,,N,,N,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N
#black-white-cookie-to-go-,FEJJ3HGES2PZC7WTULMEDSKH,Black & White Cookie to Go,,,506402J,,Cookies by the Piece to Go,Cookies by the Piece to Go,,,,,visible,Prepared food and beverage,,,,,,,Y,3.95,,N,,N,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N
#black-forest-cake-slice,ZWBQAVOJDNT5IV6B3DU2CL4D,Black Forest Cake,Slice,,N980853,,Cakes to Go,Cakes to Go,,,,,visible,Prepared food and beverage,,,,,,,Y,8.95,,N,,N,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N
#black-forest-cake-7inch,GX44B5M4PXG2PY5U6DMPHOZO,Black Forest Cake,7inch,,7781137,,Cakes to Go,Cakes to Go,,,,,visible,Prepared food and beverage,,,,,,,,50.00,,N,,,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N
#black-forest-cake-8inch,QZWV66DP4WA43VHXA4CYGQVJ,Black Forest Cake,8inch,,A503287,,Cakes to Go,Cakes to Go,,,,,visible,Prepared food and beverage,,,,,,,,54.00,,N,,,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N
#black-forest-cake-10inch,6PBG3GIEF53WGJUXOTOHYSHA,Black Forest Cake,10inch,,1134002,,Cakes to Go,Cakes to Go,,,,,visible,Prepared food and beverage,,,,,,,,65.00,,N,,,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N
#black-forest-cake-qs,CD425B4Q6YA6QRIU2R763D7U,Black Forest Cake,QS,,V791977,,Cakes to Go,Cakes to Go,,,,,visible,Prepared food and beverage,,,,,,,,100.00,,N,,,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N
#black-forest-cake-hs,LDLGKTJDK4XYWLMTD6XMT3X3,Black Forest Cake,HS,,6956128,,Cakes to Go,Cakes to Go,,,,,visible,Prepared food and beverage,,,,,,,,175.00,,N,,,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N
