Token,Item Name,Variation Name,SKU,Description,Categories,Reporting Category,SEO Title,SEO Description,Permalink,GTIN,Square Online Item Visibility,Item Type,Weight (lb),Social Media Link Title,Social Media Link Description,Shipping Enabled,Self-serve Ordering Enabled,Delivery Enabled,Pickup Enabled,Price,Online Sale Price,Archived,Sellable,Contains Alcohol,Stockable,Skip Detail Screen in POS,Option Name 1,Option Value 1,Option Name 2,Option Value 2,Default Unit Cost,Default Vendor Name,Default Vendor Code,Current Quantity Quinn Florist,New Quantity Quinn Florist,Stock Alert Enabled Quinn Florist,Stock Alert Count Quinn Florist,Modifier Set - Funerals,Modifier Set - Type,Modifier Set - Wedding
4AYHELEWRKK2KWII2BF57BDH,"""Season's Greetings"" Winter Floral Pattern Christmas Card",Regular,N-BM-GC-381,"This christmas floral pattern card is a great way to send you seasonal wishes this holiday season.

-A2 Size (4.25 x 5.5 inches folded).
-Printed on premium 16pt thick cardstock with a matte finish.
-Paired with a coordinated kraft or holiday color envelope.
-BLANK INSIDE
-Hand Drawn

Categories: christmas, christmas cards, christmas decor, christmas greeting cards, holiday cards, holiday season, winter, seasonal cards, friendship, friend greeting cards, cute greeting cards, greeting cards, floral, flowers, winter flowers, christmas ornaments, holiday ornaments, holiday decorations, christmas 2024, stocking stuffers.",,,,,,,unavailable,Physical good,,,,Y,,,,4.95,,N,,,,,,,,,1.95,Big Moods,,0,,,,N,N,N
653MDUETHADDLP2IMQPRDZER,"""Sorry for your loss"" Sympathy Card",Regular,N-BM-GC-799,"Be there during their most difficult times with this thoughtful ""sorry for your loss"" sympathy card.

-A2 Size (4.25 x 5.5 inches folded).
-Printed on premium 16pt thick cardstock with a matte finish.
-Paired with a coordinated kraft or holiday color envelope.
-BLANK INSIDE
-Hand Drawn

Categories: greeting card, greeting cards, card, cards, sympathy, sympathy cards, sympathy greeting card, condolence card, bereavement card, grief card, loss of loved one card, bereavement, condolences, heartfelt cards, thinking of you.","Greeting Cards, Faire",Faire,,,,,unavailable,Physical good,,,,Y,,,,4.95,,N,,,,,,,,,1.95,Big Moods,,0,,,,N,N,N
FOYWSJOHIHSVSX4J3QLSO7DH,"""Thank you so much"" Floral Pattern Appreciation Card",Regular,N-BM-GC-653,"Show your appreciation with this floral pattern ""thank you so much"" greeting card - the perfect way to let someone know they're truly appreciated.

-A2 Size (4.25 x 5.5 inches folded).
-Printed on premium 16pt thick cardstock with a matte finish.
-Paired with a coordinated kraft or holiday color envelope.
-BLANK INSIDE
-Hand Drawn

Categories: card, cards, greeting card, greeting cards, thank you, thank you cards, appreciation, appreciation cards, thank you gifts, teacher thank you cards, mom thank you cards, wedding thank you cards, business thank you cards, florals, flowers.","Greeting Cards, Faire",Faire,,,,,unavailable,Physical good,,,,Y,,,,4.95,,N,,,,,,,,,1.95,Big Moods,,-7,,,,N,N,N
RKCR45FOVOLNIZVXKLE7OR6C,"""Thanks Thanks Thanks"" for everything you do",Regular,N-BM-GC-178,"Say thank you with this fun retro lettering card. Great for mother's day, birthdays, and holidays.

-A2 Size (4.25 x 5.5 inches folded).
-Printed on premium 16pt thick cardstock with a matte finish.
-Paired with a coordinated kraft or holiday color envelope.
-BLANK INSIDE
-Hand Drawn
Mother's Day, Mother's Day Cards, Mom, Mother's Day Gift, Grandma, Spring, Birthday, Birthday Gift, Holiday Gift, Christmas Gift, Stocking Stuffer, Secret Santa Gift, mothers day, mothers day gift, mother's day card, grandma card, mother's day greeting card","Greeting Cards, Faire",Faire,,,,,unavailable,Physical good,,,,Y,,,,4.95,,N,,,,,,,,,1.95,Big Moods,,0,,,,N,N,N
J2CUDLVHNDIAZFWNXZHJJ2UN,"""Thinking of you"" Sympathy Card",Regular,N-BM-GC-800,"Be there during their most difficult times with this thoughtful ""thinking of you"" sympathy card.

-A2 Size (4.25 x 5.5 inches folded).
-Printed on premium 16pt thick cardstock with a matte finish.
-Paired with a coordinated kraft or holiday color envelope.
-BLANK INSIDE
-Hand Drawn

Categories: greeting card, greeting cards, card, cards, sympathy, sympathy cards, sympathy greeting card, condolence card, bereavement card, grief card, loss of loved one card, bereavement, condolences, heartfelt cards, thinking of you.","Greeting Cards, Faire",Faire,,,,,unavailable,Physical good,,,,Y,,,,4.95,,N,,,,,,,,,1.95,Big Moods,,0,,,,N,N,N
OYFTFD24PTDNBY6RIVGWLR5G,"""Wishing you comfort"" Sympathy Card",Regular,N-BM-GC-801,"Spread comfort in difficult times to those who need it most with our ""wishing you comfort"" sympathy card.

-A2 Size (4.25 x 5.5 inches folded).
-Printed on premium 16pt thick cardstock with a matte finish.
-Paired with a coordinated kraft or holiday color envelope.
-BLANK INSIDE
-Hand Drawn

Categories: greeting card, greeting cards, card, cards, sympathy, sympathy cards, sympathy greeting card, condolence card, bereavement card, grief card, loss of loved one card, bereavement, condolences, heartfelt cards, thinking of you.","Greeting Cards, Faire",Faire,,,,,unavailable,Physical good,,,,Y,,,,4.95,,N,,,,,,,,,1.95,Big Moods,,-2,,,,N,N,N
3A63U7ZPVDWDB4FHBOGQXSBD,"""With sympathy"" Greeting Card",Regular,N-BM-GC-804,"Offer your condolences to those who need love more than ever with this tasteful ""with sympathy"" greeting card.

-A2 Size (4.25 x 5.5 inches folded).
-Printed on premium 16pt thick cardstock with a matte finish.
-Paired with a coordinated kraft or holiday color envelope.
-BLANK INSIDE
-Hand Drawn

Categories: greeting card, greeting cards, card, cards, sympathy, sympathy cards, sympathy greeting card, condolence card, bereavement card, grief card, loss of loved one card, bereavement, condolences, heartfelt cards, thinking of you.","Greeting Cards, Faire",Faire,,,,,unavailable,Physical good,,,,Y,,,,4.95,,N,,,,,,,,,1.95,Big Moods,,0,,,,N,N,N
LJ5RP6ZLAGJGATBR63QWOLIF,$74.99 bouquet,Regular,Z700140,,Bouquets,Bouquets,,,,,unavailable,Physical good,,,,Y,N,N,N,74.99,,N,,N,,N,,,,,,,,,,,,N,N,N
UDEMYVTD7X42YMSUIBKV264L,1 Dozen Red Roses Bouquet,No,qf-an-001253,"Express love, admiration, and timeless beauty with our 1 Dozen Red Roses Bouquet — hand-arranged by Quinn Florist in Astoria, NYC. Each stem is carefully selected for freshness and vibrant color, then artfully arranged in a classic clear glass vase with lush greenery for a clean, elegant finish.

Also known as our “Timeless Love” bouquet, this arrangement is the perfect romantic gesture for anniversaries, birthdays, Valentine’s Day, or simply saying “I love you.” Whether delivered to a home, office, or event, these radiant red roses make a bold statement of affection.

Add delicate baby’s breath for an even softer, more classic look. Available for same-day delivery throughout Queens, Manhattan, and Brooklyn.",Flowers > Anniversary,Flowers > Anniversary,,,,,unavailable,Physical good,,,,Y,,,,75.00,,N,,,,,add-babys-breath,No,,,,,,,,,,N,N,N
GG7EWDLXVBQKNGMBWE327OVU,1 Dozen Red Roses Bouquet,Yes (+$5),qf-an-001254,,Flowers > Anniversary,Flowers > Anniversary,,,,,unavailable,Physical good,,,,,,,,80.00,,N,,,,,add-babys-breath,Yes (+$5),,,,,,,,,,N,N,N
LMPOTI53BDL2TRDUKQ5ANOFX,1 Dozen White Roses Bouquet,No,qf-an-001354,"<p data-rm-block-id=""block-1"">Bring a sense of calm and sophistication to any space with our 1 Dozen White Roses Bouquet, artfully arranged in a clear glass vase. Each stem is carefully selected for freshness and beauty, paired with seasonal greenery and fragrant eucalyptus.</p>
<p data-rm-block-id=""block-2"">This bouquet makes a graceful gift for anniversaries, sympathy gestures, or moments that call for pure elegance.</p>
<p data-rm-block-id=""block-3"">Handcrafted by Quinn Florist in Astoria, NYC, and available for same-day delivery across Queens, Manhattan, and Brooklyn.</p>
<p data-rm-block-id=""block-4"">Order now for same-day white rose delivery in NYC — Quinn Florist’s timeless white bouquet brings elegance to any occasion</p>",Flowers > Anniversary,Flowers > Anniversary,,,,,unavailable,Physical good,,,,Y,,,,75.00,,N,,,,,add-babys-breath,No,,,,,,,,,,N,N,N
LDGO5ER2CQXFL5OQXEMRHADS,1 Dozen White Roses Bouquet,Yes (+$5),qf-an-001355,,Flowers > Anniversary,Flowers > Anniversary,,,,,unavailable,Physical good,,,,,,,,80.00,,N,,,,,add-babys-breath,Yes (+$5),,,,,,,,,,N,N,N
PHCA32HTLOGVA6GUX3YL4MKV,"10"" Black Gloss Ceramic",Regular,2216996,,,,,,,,unavailable,Physical good,,,,Y,N,N,N,50.00,,N,,N,,N,,,,,,,,,,,,N,N,N
42WSIW6VDJQQVPNXYMKMW5YF,10.6in Plate / Terracotta,Regular,8149132,,Vases/Pots,Vases/Pots,,,,,unavailable,Physical good,,,,N,N,N,N,10.99,,N,,N,,N,,,,,,,,,,,,N,N,N
CLLD2YBY7XPSZJDXZSNP7I2N,10in Aglaonema Cutlass (Chinese Evergreen),Regular,K717557,,Indoor Plants,Indoor Plants,,,,,unavailable,Physical good,,,,Y,N,N,N,84.99,,N,,N,,N,,,,,,,,,,,,N,N,N
3VRDS3OWHPHXKACCHXA6KHKY,10in Braided Marginata,Regular,N817979,,Indoor Plants,Indoor Plants,,,,,unavailable,Physical good,,,,,,,,99.99,,N,,N,,N,,,,,,,,,,,,N,N,N
GDWMMQPX6N5GOI7WEMEFAQZ4,10in Cat Palm,Regular,844691W,,Indoor Plants,Indoor Plants,,,,,unavailable,Physical good,,,,N,N,N,N,59.99,,N,,N,,N,,,,,,,,,,,,N,N,N
47YXI67KC7YISR6F5THR2FPR,10in Croton Topiary Tree,Regular,M797885,,Indoor Plants,Indoor Plants,,,,,unavailable,Physical good,,,,N,N,N,N,89.99,,N,,N,,N,,,,,,,,,,,,N,N,N
RIRC3P57EFFNBH6BFVL4W6JV,10in Curly Croton,Regular,375072Y,,Indoor Plants,Indoor Plants,,,,,unavailable,Physical good,,,,N,N,N,N,49.99,,N,,N,,N,,,,,,,,,,,,N,N,N
KGWRUMXATJGQHD7EVLAY4MXV,10in Double Impatient Hanging Basket,,,,Outdoor Plant,Outdoor Plant,,,,,unavailable,Physical good,,,,Y,N,N,N,34.99,,N,,N,,N,,,,,,,,,,,,N,N,N
LTWSISSXEVRY4M7UAV5JPBWJ,10in Fiddle Leaf Fig Standard,,,,Indoor Plants,Indoor Plants,,,,,unavailable,Physical good,,,,Y,N,N,N,94.99,,N,,N,,N,,,,,,,,,,,,N,N,N
RTIUAASRWYWMWHRW5IDTABON,10in Firestick Cactus,,,,Indoor Plants,Indoor Plants,,,,,unavailable,Physical good,,,,Y,N,N,N,109.99,,N,,N,,N,,,,,,,,,,,,N,N,N
UCUCBDDRA7SIKULRMNQ7SFPD,10in Garden Bowl,Regular,W410567,,Vases/Pots,Vases/Pots,,,,,unavailable,Physical good,,,,N,N,N,N,34.99,,N,,N,,N,,,,,,,,,,,,N,N,N
DGEAY7M7GU3GG5TQUT3GDZM2,10in Lisa Cane Dracaena,,,,Indoor Plants,Indoor Plants,,,,,unavailable,Physical good,,,,Y,N,N,N,155.99,,N,,N,,N,,,,,,,,,,,,N,N,N
EO565UPISLS4XJDBJFBPVMS3,10in Money Tree Braided Plant,,6041939,,Indoor Plants,Indoor Plants,,,,,unavailable,Physical good,,,,Y,N,N,N,84.99,,N,,N,,N,,,,,,,,,,,,N,N,N
AGNVO53Y6J5TLPCSVT3PEZIH,10in Money Tree Plant,,,,Indoor Plants,Indoor Plants,,,,,unavailable,Physical good,,,,Y,N,N,N,74.99,,N,,N,,N,,,,,,,,,,,,N,N,N
DVWLIQQKTB6VFOHFYAPAEMYH,10in Plastic / Plate,,,,Vases/Pots,Vases/Pots,,,,,unavailable,Physical good,,,,Y,N,N,N,5.99,,N,,N,,N,,,,,,,,,,,,N,N,N
2TJ4SLOOUQNYHWG75VD74CQW,10in Red Aglaonema,Regular,208100K,,Indoor Plants,Indoor Plants,,,,,unavailable,Physical good,,,,Y,N,N,N,84.99,,N,,N,,N,,,,,,,,,,,,N,N,N
VQACBFR75VE22MWFV5M2KNSG,10in Split Leaf Philodendron,,,,Indoor Plants,Indoor Plants,,,,,unavailable,Physical good,,,,Y,N,N,N,74.99,,N,,N,,N,,,,,,,,,,,,N,N,N
SOCRW7NRJHLFD2SLVC4KE66N,10in Staggered Marginata,Regular,1833388,,Indoor Plants,Indoor Plants,,,,,unavailable,Physical good,,,,N,N,N,N,119.99,,N,,N,,N,,,,,,,,,,,,N,N,N
K3GQ2UKB34QHCTEGBD7ZN6IO,10in Standard Arboricola Schefflera,,,,Indoor Plants,Indoor Plants,,,,,unavailable,Physical good,,,,Y,N,N,N,99.99,,N,,N,,N,,,,,,,,,,,,N,N,N
ZZMLVF3NSC7LZKMA32TJ3XNZ,10in ZZ Plant,Regular,445422H,,Indoor Plants,Indoor Plants,,,,,unavailable,Physical good,,,,Y,N,N,N,99.99,,N,,N,,N,,,,,,,,,,,,N,N,N
BXEQG4AROFV2BVNN6VLUJN5J,11.99 Bouquets (Small Mixed Mums),Regular,464309M,mixed football mums,Bouquets,Bouquets,,,,,unavailable,Physical good,,,,N,N,N,N,11.99,,N,,N,,N,,,,,,,,,,,,N,N,N
6NZ7RDJFBK5E4P4KMJ5MGT6D,12.2in Terracotta / Plate,,,,Vases/Pots,Vases/Pots,,,,,unavailable,Physical good,,,,Y,N,N,N,15.99,,N,,N,,N,,,,,,,,,,,,N,N,N
TT5NX64E55WMSGW3V4EC4S3Y,12.2in Terracotta / Pot,,,,Vases/Pots,Vases/Pots,,,,,unavailable,Physical good,,,,Y,N,N,N,24.99,,N,,N,,N,,,,,,,,,,,,N,N,N
6OZ2AIVWHKZHSDHIWZKITD5V,13in Terracotta / Pot,,,,Vases/Pots,Vases/Pots,,,,,unavailable,Physical good,,,,Y,N,N,N,34.99,,N,,N,,N,,,,,,,,,,,,N,N,N
5BQAHP4YS5PULBYR3G2Y6GE7,14.2in Terracotta / Plate,,,,Vases/Pots,Vases/Pots,,,,,unavailable,Physical good,,,,Y,N,N,N,19.99,,N,,N,,N,,,,,,,,,,,,N,N,N
QOHGC45BWUPBCPXLCE345QOM,"14.99 Bouquets (Carnations, Sunflowers, Mixed Mums)",Regular,6329768,,Bouquets,Bouquets,,,,,unavailable,Physical good,,,,N,N,N,N,14.99,,N,,N,,N,,,,,,,,,,,,N,N,N
TQAD4SR7AQRZWMVKF3TOWZWG,14.99 Bouquets Carnations Mix,Regular,905737B,,Bouquets,Bouquets,,,,,unavailable,Physical good,,,,N,N,N,N,14.99,,N,,N,,N,,,,,,,,,,,,N,N,N
NJXKJPHCQKE2DA2IU642HPJV,14.99 Sunflowers Bouquets Mix,Regular,K203224,,Bouquets,Bouquets,,,,,unavailable,Physical good,,,,N,N,N,N,14.99,,N,,N,,N,,,,,,,,,,,,N,N,N
WEU7LSQYNBXELBDVILSII75F,14in Terracotta / Pot,Regular,521979R,,Vases/Pots,Vases/Pots,,,,,unavailable,Physical good,,,,N,N,N,N,39.99,,N,,N,,N,,,,,,,,,,,,N,N,N
SYEFTWNSLKQMDJVE7BEV2OZT,16in Plastic / Plate,,,,Vases/Pots,Vases/Pots,,,,,unavailable,Physical good,,,,Y,N,N,N,5.99,,N,,N,,N,,,,,,,,,,,,N,N,N
ZYNNPCADETAEH4N7N5CCKB4C,16in Terracotta / Pot,Regular,Q182378,,Vases/Pots,Vases/Pots,,,,,unavailable,Physical good,,,,N,N,N,N,49.99,,N,,N,,N,,,,,,,,,,,,N,N,N
XA77D6GH7TDFYCYO2UC3EBBC,19.99 Bouquet (Spray Roses),Regular,E034798,,Bouquets,Bouquets,,,,,unavailable,Physical good,,,,Y,N,N,N,19.99,,N,,N,,N,,,,,,,,,,,,N,N,N
GJMJBFHLZ5WC474DXXAVQZV5,2 Dozen Pink Roses Bouquet – Classic Glass Vase,No,qf-an-001269,"<p data-rm-block-id=""block-1"">Soft, sweet, and effortlessly elegant, our 2 Dozen Pink Roses Bouquet captures the essence of admiration, grace, and affection. This stunning arrangement features twenty-four hand-selected premium pink roses, carefully arranged in a classic clear glass vase. Each stem is chosen for its freshness, color, and longevity, ensuring a breathtaking presentation that delights from the moment it arrives.</p>
<p data-rm-block-id=""block-2"">Accented with lush greenery and seasonal foliage, these exquisite blooms convey warmth and thoughtfulness, making them ideal for birthdays, anniversaries, romantic gestures, or simply to brighten someone’s day. The soft blush tones of the roses symbolize appreciation, gentleness, and joy — a timeless message expressed through nature’s most beloved flower.</p>
<p data-rm-block-id=""block-3"">Handcrafted with care by Quinn Florist in Astoria, NYC, every bouquet is designed to impress and delivered with precision and elegance. Our 2 Dozen Pink Roses bouquet in a Glass Vase is available for same-day delivery across Queens, Manhattan, and Brooklyn, ensuring your heartfelt message arrives exactly when it matters most.</p>
<p data-rm-block-id=""block-4"">For an extra romantic touch, add delicate baby’s breath to elevate the arrangement’s charm — the perfect finishing detail for an unforgettable floral gift.</p>",Flowers > Anniversary,Flowers > Anniversary,,,,,unavailable,Physical good,,,,Y,,,,100.00,,N,,,,,Add Babys Breath?,No,,,,,,,,,,N,N,N
SEBH24T5HXWSSBVXAJOHZ36T,2 Dozen Pink Roses Bouquet – Classic Glass Vase,Yes (+5),qf-an-001269,,Flowers > Anniversary,Flowers > Anniversary,,,,,unavailable,Physical good,,,,,,,,105.00,,N,,,,,Add Babys Breath?,Yes (+5),,,,,,,,,,N,N,N
IS4JBVSJ2IHR3BOANQLJQPMC,2 Dozen Red Roses Bouquet with Baby’s Breath – Classic Glass Vase,No,qf-an-001261,"Double the romance and passion with this breathtaking 2 Dozen Red Roses Bouquet, hand-selected by Quinn Florist in Astoria, NYC. Each rose is carefully conditioned for freshness, beauty, and fragrance, ensuring a stunning presentation that lasts. Expertly designed in a tall, clear glass vase and accented with lush greenery, this bouquet makes a bold, heartfelt statement for any occasion that celebrates love, admiration, or deep appreciation.

The addition of delicate baby’s breath creates a soft, cloud-like texture that enhances the classic beauty of red roses. Together, they form a timeless symbol of romance and devotion — perfect for Valentine’s Day, anniversaries, proposals, or “just because.” Every bouquet is crafted with meticulous care and arranged to perfection by Quinn Florist’s experienced designers, guaranteeing balance, symmetry, and breathtaking visual impact.

This luxurious bouquet doesn’t just say “I love you” — it shows it. Ideal for home display, office decor, or as a grand romantic gesture, it embodies elegance and sophistication in every petal.

Available for same-day delivery throughout New York City, including Queens, Manhattan, and Brooklyn. Bring joy, passion, and unforgettable beauty into any space with Quinn Florist’s Elegant 2 Dozen Red Roses Bouquet with Baby’s Breath — a signature arrangement that speaks volumes without saying a word.",Flowers > Anniversary,Flowers > Anniversary,,,,,unavailable,Physical good,,,,Y,,,,100.00,,N,,,,,Add Babys Breath?,No,,,,,,,,,,N,N,N
EFCL5Y42WGA2MHE6CMNTSNZQ,2 Dozen Red Roses Bouquet with Baby’s Breath – Classic Glass Vase,Yes (+5),qf-an-001261,,Flowers > Anniversary,Flowers > Anniversary,,,,,unavailable,Physical good,,,,,,,,105.00,,N,,,,,Add Babys Breath?,Yes (+5),,,,,,,,,,N,N,N
